countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2012,68.371,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2013,68.755,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2014,69.117,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2015,69.398,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2016,69.635,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2017,69.842,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2018,69.993,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,70.127,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,70.059,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2021,69.301,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2022,70.528,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2023,70.668,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1990,2.817617319,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1991,2.872084271,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1992,2.926551222,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1993,2.981018174,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1994,3.035485126,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1995,3.089952078,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1996,3.146513913,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1997,3.203075747,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1998,3.259637582,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1999,3.316199417,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2000,3.372761251,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2001,3.435607734,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2002,3.498454217,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2003,3.5613007,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2004,3.624147183,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2005,3.686993666,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2006,3.808496866,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2007,3.930000067,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2008,4.03000021,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2009,3.940000057,
KHM,Cambodia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2010,3.872000027,
